"","X","id","name","cname","date","variable","aoi","mean","interpl"
"1",1,1,NA,"X_2024.01.01.12.52.01.01.24","2024-01-01 12:52:01","product/vertical_column_troposphere","AOI_BO_City",10.0701159483342,10.0701159483342
"2",2,1,NA,"X_2024.01.01.13.32.01.01.24","2024-01-01 13:32:01","product/vertical_column_troposphere","AOI_BO_City",7.36647854386384,7.36647854386384
"3",3,1,NA,"X_2024.01.01.14.12.01.01.24","2024-01-01 14:12:01","product/vertical_column_troposphere","AOI_BO_City",5.92630066125675,5.92630066125675
"4",4,1,NA,"X_2024.01.01.15.12.01.01.24","2024-01-01 15:12:01","product/vertical_column_troposphere","AOI_BO_City",4.99086989519054,4.99086989519054
"5",5,1,NA,"X_2024.01.01.16.12.01.01.24","2024-01-01 16:12:01","product/vertical_column_troposphere","AOI_BO_City",4.43498249448857,4.43498249448857
"6",6,1,NA,"X_2024.01.01.17.12.01.01.24","2024-01-01 17:12:01","product/vertical_column_troposphere","AOI_BO_City",3.69882614842719,3.69882614842719
"7",7,1,NA,"X_2024.01.01.18.12.01.01.24","2024-01-01 18:12:01","product/vertical_column_troposphere","AOI_BO_City",3.6074646240367,3.6074646240367
"8",8,1,NA,"X_2024.01.01.19.12.01.01.24","2024-01-01 19:12:01","product/vertical_column_troposphere","AOI_BO_City",4.41386111357034,4.41386111357034
"9",9,1,NA,"X_2024.01.01.20.12.01.01.24","2024-01-01 20:12:01","product/vertical_column_troposphere","AOI_BO_City",5.68653554373946,5.68653554373946
"10",10,1,NA,"X_2024.01.01.21.12.01.01.24","2024-01-01 21:12:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.91706451468897
"11",11,1,NA,"X_2024.01.01.22.12.01.01.24","2024-01-01 22:12:01","product/vertical_column_troposphere","AOI_BO_City",NA,8.14759348563848
"12",12,1,NA,"X_2024.01.01.22.52.01.01.24","2024-01-01 22:52:01","product/vertical_column_troposphere","AOI_BO_City",NA,9.37812245658798
"13",13,1,NA,"X_2024.01.02.12.52.01.02.24","2024-01-02 12:52:01","product/vertical_column_troposphere","AOI_BO_City",10.6086514275375,10.6086514275375
"14",14,1,NA,"X_2024.01.02.13.32.01.02.24","2024-01-02 13:32:01","product/vertical_column_troposphere","AOI_BO_City",7.32748815832322,7.32748815832322
"15",15,1,NA,"X_2024.01.02.14.12.01.02.24","2024-01-02 14:12:01","product/vertical_column_troposphere","AOI_BO_City",7.6394383053046,7.6394383053046
"16",16,1,NA,"X_2024.01.02.15.12.01.02.24","2024-01-02 15:12:01","product/vertical_column_troposphere","AOI_BO_City",7.26309998621236,7.26309998621236
"17",17,1,NA,"X_2024.01.02.16.12.01.02.24","2024-01-02 16:12:01","product/vertical_column_troposphere","AOI_BO_City",6.69211251332835,6.69211251332835
"18",18,1,NA,"X_2024.01.02.17.12.01.02.24","2024-01-02 17:12:01","product/vertical_column_troposphere","AOI_BO_City",5.76919866512537,5.76919866512537
"19",19,1,NA,"X_2024.01.02.18.12.01.02.24","2024-01-02 18:12:01","product/vertical_column_troposphere","AOI_BO_City",5.00534408440744,5.00534408440744
"20",20,1,NA,"X_2024.01.02.19.12.01.02.24","2024-01-02 19:12:01","product/vertical_column_troposphere","AOI_BO_City",6.37205300639498,6.37205300639498
"21",21,1,NA,"X_2024.01.02.20.12.01.02.24","2024-01-02 20:12:01","product/vertical_column_troposphere","AOI_BO_City",7.79774742637167,7.79774742637167
"22",22,1,NA,"X_2024.01.02.21.12.01.02.24","2024-01-02 21:12:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.65928745030364
"23",23,1,NA,"X_2024.01.02.22.12.01.02.24","2024-01-02 22:12:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.52082747423561
"24",24,1,NA,"X_2024.01.02.22.52.01.02.24","2024-01-02 22:52:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.38236749816757
"25",25,1,NA,"X_2024.01.03.12.53.01.03.24","2024-01-03 12:53:01","product/vertical_column_troposphere","AOI_BO_City",7.24390752209954,7.24390752209954
"26",26,1,NA,"X_2024.01.03.13.33.01.03.24","2024-01-03 13:33:01","product/vertical_column_troposphere","AOI_BO_City",5.27061052706186,5.27061052706186
"27",27,1,NA,"X_2024.01.03.14.13.01.03.24","2024-01-03 14:13:01","product/vertical_column_troposphere","AOI_BO_City",7.19210544344848,7.19210544344848
"28",28,1,NA,"X_2024.01.03.15.13.01.03.24","2024-01-03 15:13:01","product/vertical_column_troposphere","AOI_BO_City",7.09826204042966,7.09826204042966
"29",29,1,NA,"X_2024.01.03.16.13.01.03.24","2024-01-03 16:13:01","product/vertical_column_troposphere","AOI_BO_City",6.43913860884181,6.43913860884181
"30",30,1,NA,"X_2024.01.03.17.13.01.03.24","2024-01-03 17:13:01","product/vertical_column_troposphere","AOI_BO_City",5.19570691884945,5.19570691884945
"31",31,1,NA,"X_2024.01.03.18.13.01.03.24","2024-01-03 18:13:01","product/vertical_column_troposphere","AOI_BO_City",5.35658589785354,5.35658589785354
"32",32,1,NA,"X_2024.01.03.19.13.01.03.24","2024-01-03 19:13:01","product/vertical_column_troposphere","AOI_BO_City",8.06391610573015,8.06391610573015
"33",33,1,NA,"X_2024.01.03.20.13.01.03.24","2024-01-03 20:13:01","product/vertical_column_troposphere","AOI_BO_City",7.8320840090019,7.8320840090019
"34",34,1,NA,"X_2024.01.03.21.13.01.03.24","2024-01-03 21:13:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.81375401747507
"35",35,1,NA,"X_2024.01.03.22.13.01.03.24","2024-01-03 22:13:01","product/vertical_column_troposphere","AOI_BO_City",NA,5.79542402594823
"36",36,1,NA,"X_2024.01.03.22.53.01.03.24","2024-01-03 22:53:01","product/vertical_column_troposphere","AOI_BO_City",NA,4.7770940344214
"37",37,1,NA,"X_2024.01.04.12.53.01.04.24","2024-01-04 12:53:01","product/vertical_column_troposphere","AOI_BO_City",3.75876404289457,3.75876404289457
"38",38,1,NA,"X_2024.01.04.13.33.01.04.24","2024-01-04 13:33:01","product/vertical_column_troposphere","AOI_BO_City",3.75664066911818,3.75664066911818
"39",39,1,NA,"X_2024.01.04.14.13.01.04.24","2024-01-04 14:13:01","product/vertical_column_troposphere","AOI_BO_City",4.64268999569879,4.64268999569879
"40",40,1,NA,"X_2024.01.04.15.13.01.04.24","2024-01-04 15:13:01","product/vertical_column_troposphere","AOI_BO_City",7.64404532220465,7.64404532220465
"41",41,1,NA,"X_2024.01.04.16.13.01.04.24","2024-01-04 16:13:01","product/vertical_column_troposphere","AOI_BO_City",8.13375562802291,8.13375562802291
"42",42,1,NA,"X_2024.01.04.17.13.01.04.24","2024-01-04 17:13:01","product/vertical_column_troposphere","AOI_BO_City",7.24243461374989,7.24243461374989
"43",43,1,NA,"X_2024.01.04.18.13.01.04.24","2024-01-04 18:13:01","product/vertical_column_troposphere","AOI_BO_City",8.36110383242278,8.36110383242278
"44",44,1,NA,"X_2024.01.04.19.13.01.04.24","2024-01-04 19:13:01","product/vertical_column_troposphere","AOI_BO_City",6.23216094602451,6.23216094602451
"45",45,1,NA,"X_2024.01.04.20.13.01.04.24","2024-01-04 20:13:01","product/vertical_column_troposphere","AOI_BO_City",8.58403708432837,8.58403708432837
"46",46,1,NA,"X_2024.01.04.21.13.01.04.24","2024-01-04 21:13:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.67149895770036
"47",47,1,NA,"X_2024.01.04.22.13.01.04.24","2024-01-04 22:13:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.75896083107235
"48",48,1,NA,"X_2024.01.04.22.53.01.04.24","2024-01-04 22:53:01","product/vertical_column_troposphere","AOI_BO_City",NA,5.84642270444434
"49",49,1,NA,"X_2024.01.05.12.54.01.05.24","2024-01-05 12:54:01","product/vertical_column_troposphere","AOI_BO_City",4.93388457781633,4.93388457781633
"50",50,1,NA,"X_2024.01.05.13.34.01.05.24","2024-01-05 13:34:01","product/vertical_column_troposphere","AOI_BO_City",4.4011658418156,4.4011658418156
"51",51,1,NA,"X_2024.01.05.14.14.01.05.24","2024-01-05 14:14:01","product/vertical_column_troposphere","AOI_BO_City",3.70333348883643,3.70333348883643
"52",52,1,NA,"X_2024.01.05.15.14.01.05.24","2024-01-05 15:14:01","product/vertical_column_troposphere","AOI_BO_City",3.57286702707094,3.57286702707094
"53",53,1,NA,"X_2024.01.05.16.14.01.05.24","2024-01-05 16:14:01","product/vertical_column_troposphere","AOI_BO_City",3.29715634360355,3.29715634360355
"54",54,1,NA,"X_2024.01.05.17.14.01.05.24","2024-01-05 17:14:01","product/vertical_column_troposphere","AOI_BO_City",2.9758736130907,2.9758736130907
"55",55,1,NA,"X_2024.01.05.18.14.01.05.24","2024-01-05 18:14:01","product/vertical_column_troposphere","AOI_BO_City",2.61207506745031,2.61207506745031
"56",56,1,NA,"X_2024.01.05.19.14.01.05.24","2024-01-05 19:14:01","product/vertical_column_troposphere","AOI_BO_City",3.28567172130384,3.28567172130384
"57",57,1,NA,"X_2024.01.05.20.14.01.05.24","2024-01-05 20:14:01","product/vertical_column_troposphere","AOI_BO_City",4.88147805326702,4.88147805326702
"58",58,1,NA,"X_2024.01.05.21.14.01.05.24","2024-01-05 21:14:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.2324498357145
"59",59,1,NA,"X_2024.01.05.22.14.01.05.24","2024-01-05 22:14:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.58342161816198
"60",60,1,NA,"X_2024.01.05.22.54.01.05.24","2024-01-05 22:54:01","product/vertical_column_troposphere","AOI_BO_City",NA,8.93439340060946
"61",61,1,NA,"X_2024.01.06.12.54.01.06.24","2024-01-06 12:54:01","product/vertical_column_troposphere","AOI_BO_City",10.2853651830569,10.2853651830569
"62",62,1,NA,"X_2024.01.06.13.34.01.06.24","2024-01-06 13:34:01","product/vertical_column_troposphere","AOI_BO_City",7.83828342862826,7.83828342862826
"63",63,1,NA,"X_2024.01.06.14.14.01.06.24","2024-01-06 14:14:01","product/vertical_column_troposphere","AOI_BO_City",9.23371907668077,9.23371907668077
"64",64,1,NA,"X_2024.01.06.15.14.01.06.24","2024-01-06 15:14:01","product/vertical_column_troposphere","AOI_BO_City",5.75240058954308,5.75240058954308
"65",65,1,NA,"X_2024.01.06.16.14.01.06.24","2024-01-06 16:14:01","product/vertical_column_troposphere","AOI_BO_City",5.87630663204071,5.87630663204071
"66",66,1,NA,"X_2024.01.06.17.14.01.06.24","2024-01-06 17:14:01","product/vertical_column_troposphere","AOI_BO_City",23.1501492736434,23.1501492736434
"67",67,1,NA,"X_2024.01.06.18.14.01.06.24","2024-01-06 18:14:01","product/vertical_column_troposphere","AOI_BO_City",32.381535056123,32.381535056123
"68",68,1,NA,"X_2024.01.06.19.14.01.06.24","2024-01-06 19:14:01","product/vertical_column_troposphere","AOI_BO_City",35.1260867926939,35.1260867926939
"69",69,1,NA,"X_2024.01.06.20.14.01.06.24","2024-01-06 20:14:01","product/vertical_column_troposphere","AOI_BO_City",10.5325661461481,10.5325661461481
"70",70,1,NA,"X_2024.01.06.21.14.01.06.24","2024-01-06 21:14:01","product/vertical_column_troposphere","AOI_BO_City",NA,8.710866024703
"71",71,1,NA,"X_2024.01.06.22.14.01.06.24","2024-01-06 22:14:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.8891659032579
"72",72,1,NA,"X_2024.01.06.22.54.01.06.24","2024-01-06 22:54:01","product/vertical_column_troposphere","AOI_BO_City",NA,5.06746578181281
"73",73,1,NA,"X_2024.01.07.12.55.01.07.24","2024-01-07 12:55:01","product/vertical_column_troposphere","AOI_BO_City",3.24576566036771,3.24576566036771
"74",74,1,NA,"X_2024.01.07.13.35.01.07.24","2024-01-07 13:35:01","product/vertical_column_troposphere","AOI_BO_City",3.69735005367088,3.69735005367088
"75",75,1,NA,"X_2024.01.07.14.15.01.07.24","2024-01-07 14:15:01","product/vertical_column_troposphere","AOI_BO_City",4.25310713872256,4.25310713872256
"76",76,1,NA,"X_2024.01.07.15.15.01.07.24","2024-01-07 15:15:01","product/vertical_column_troposphere","AOI_BO_City",4.20031999810997,4.20031999810997
"77",77,1,NA,"X_2024.01.07.16.15.01.07.24","2024-01-07 16:15:01","product/vertical_column_troposphere","AOI_BO_City",4.05059939872465,4.05059939872465
"78",78,1,NA,"X_2024.01.07.17.15.01.07.24","2024-01-07 17:15:01","product/vertical_column_troposphere","AOI_BO_City",4.44592201386308,4.44592201386308
"79",79,1,NA,"X_2024.01.07.18.15.01.07.24","2024-01-07 18:15:01","product/vertical_column_troposphere","AOI_BO_City",3.90296352947591,3.90296352947591
"80",80,1,NA,"X_2024.01.07.19.15.01.07.24","2024-01-07 19:15:01","product/vertical_column_troposphere","AOI_BO_City",4.34344872571581,4.34344872571581
"81",81,1,NA,"X_2024.01.07.20.15.01.07.24","2024-01-07 20:15:01","product/vertical_column_troposphere","AOI_BO_City",3.80884773739047,3.80884773739047
"82",82,1,NA,"X_2024.01.07.21.15.01.07.24","2024-01-07 21:15:01","product/vertical_column_troposphere","AOI_BO_City",NA,5.29592483189535
"83",83,1,NA,"X_2024.01.07.22.15.01.07.24","2024-01-07 22:15:01","product/vertical_column_troposphere","AOI_BO_City",NA,6.78300192640022
"84",84,1,NA,"X_2024.01.07.22.55.01.07.24","2024-01-07 22:55:01","product/vertical_column_troposphere","AOI_BO_City",NA,8.2700790209051
"85",85,1,NA,"X_2024.01.08.12.55.01.08.24","2024-01-08 12:55:01","product/vertical_column_troposphere","AOI_BO_City",9.75715611540998,9.75715611540998
"86",86,1,NA,"X_2024.01.08.13.35.01.08.24","2024-01-08 13:35:01","product/vertical_column_troposphere","AOI_BO_City",7.11311267820344,7.11311267820344
"87",87,1,NA,"X_2024.01.08.14.15.01.08.24","2024-01-08 14:15:01","product/vertical_column_troposphere","AOI_BO_City",5.1904084701721,5.1904084701721
"88",88,1,NA,"X_2024.01.08.15.15.01.08.24","2024-01-08 15:15:01","product/vertical_column_troposphere","AOI_BO_City",4.54188255315111,4.54188255315111
"89",89,1,NA,"X_2024.01.08.16.15.01.08.24","2024-01-08 16:15:01","product/vertical_column_troposphere","AOI_BO_City",3.62561486622327,3.62561486622327
"90",90,1,NA,"X_2024.01.08.17.15.01.08.24","2024-01-08 17:15:01","product/vertical_column_troposphere","AOI_BO_City",3.25097325552539,3.25097325552539
"91",91,1,NA,"X_2024.01.08.18.15.01.08.24","2024-01-08 18:15:01","product/vertical_column_troposphere","AOI_BO_City",3.72521529881881,3.72521529881881
"92",92,1,NA,"X_2024.01.08.19.15.01.08.24","2024-01-08 19:15:01","product/vertical_column_troposphere","AOI_BO_City",4.16852079641349,4.16852079641349
"93",93,1,NA,"X_2024.01.08.20.15.01.08.24","2024-01-08 20:15:01","product/vertical_column_troposphere","AOI_BO_City",5.68263019947627,5.68263019947627
"94",94,1,NA,"X_2024.01.08.21.15.01.08.24","2024-01-08 21:15:01","product/vertical_column_troposphere","AOI_BO_City",NA,7.64808455173737
"95",95,1,NA,"X_2024.01.08.22.15.01.08.24","2024-01-08 22:15:01","product/vertical_column_troposphere","AOI_BO_City",NA,9.61353890399846
"96",96,1,NA,"X_2024.01.08.22.55.01.08.24","2024-01-08 22:55:01","product/vertical_column_troposphere","AOI_BO_City",NA,11.5789932562596
"97",97,1,NA,"X_2024.01.09.12.55.01.09.24","2024-01-09 12:55:01","product/vertical_column_troposphere","AOI_BO_City",13.5444476085207,13.5444476085207
"98",98,1,NA,"X_2024.01.09.13.35.01.09.24","2024-01-09 13:35:01","product/vertical_column_troposphere","AOI_BO_City",11.3648110571032,11.3648110571032
"99",99,1,NA,"X_2024.01.09.14.16.01.09.24","2024-01-09 14:16:01","product/vertical_column_troposphere","AOI_BO_City",6.34803238139728,6.34803238139728
"100",100,1,NA,"X_2024.01.09.15.16.01.09.24","2024-01-09 15:16:01","product/vertical_column_troposphere","AOI_BO_City",6.26179588630641,6.26179588630641
"101",101,1,NA,"X_2024.01.09.16.16.01.09.24","2024-01-09 16:16:01","product/vertical_column_troposphere","AOI_BO_City",4.33260074776883,4.33260074776883
"102",102,1,NA,"X_2024.01.09.17.16.01.09.24","2024-01-09 17:16:01","product/vertical_column_troposphere","AOI_BO_City",3.89022418747424,3.89022418747424
"103",103,1,NA,"X_2024.01.09.18.16.01.09.24","2024-01-09 18:16:01","product/vertical_column_troposphere","AOI_BO_City",5.66308652040697,5.66308652040697
"104",104,1,NA,"X_2024.01.09.19.16.01.09.24","2024-01-09 19:16:01","product/vertical_column_troposphere","AOI_BO_City",2.98923190203911,2.98923190203911
"105",105,1,NA,"X_2024.01.09.20.16.01.09.24","2024-01-09 20:16:01","product/vertical_column_troposphere","AOI_BO_City",3.22860702841224,3.22860702841224
"106",106,1,NA,"X_2024.01.09.21.16.01.09.24","2024-01-09 21:16:01","product/vertical_column_troposphere","AOI_BO_City",NA,2.88107396935122
"107",107,1,NA,"X_2024.01.09.22.16.01.09.24","2024-01-09 22:16:01","product/vertical_column_troposphere","AOI_BO_City",NA,2.5335409102902
"108",108,1,NA,"X_2024.01.09.22.56.01.09.24","2024-01-09 22:56:01","product/vertical_column_troposphere","AOI_BO_City",NA,2.18600785122918
"109",109,1,NA,"X_2024.01.10.12.56.01.10.24","2024-01-10 12:56:01","product/vertical_column_troposphere","AOI_BO_City",1.83847479216817,1.83847479216817
"110",110,1,NA,"X_2024.01.10.13.36.01.10.24","2024-01-10 13:36:01","product/vertical_column_troposphere","AOI_BO_City",4.20402375678048,4.20402375678048
"111",111,1,NA,"X_2024.01.10.14.16.01.10.24","2024-01-10 14:16:01","product/vertical_column_troposphere","AOI_BO_City",4.33867275937286,4.33867275937286
"112",112,1,NA,"X_2024.01.10.15.16.01.10.24","2024-01-10 15:16:01","product/vertical_column_troposphere","AOI_BO_City",2.0210215634975,2.0210215634975
"113",113,1,NA,"X_2024.01.10.16.16.01.10.24","2024-01-10 16:16:01","product/vertical_column_troposphere","AOI_BO_City",1.59634196804576,1.59634196804576
"114",114,1,NA,"X_2024.01.10.17.16.01.10.24","2024-01-10 17:16:01","product/vertical_column_troposphere","AOI_BO_City",2.64686092917557,2.64686092917557
