"","X","id","name","cname","date","variable","aoi","mean","interpl"
"1",1,1,NA,"X_2019.01.01","2019-01-01","CH4","AOI_BO_City",1822.67639453418,1822.67639453418
"2",2,1,NA,"X_2019.02.01","2019-02-01","CH4","AOI_BO_City",1809.19552861864,1809.19552861864
"3",3,1,NA,"X_2019.03.01","2019-03-01","CH4","AOI_BO_City",1833.38018302671,1833.38018302671
"4",4,1,NA,"X_2019.04.01","2019-04-01","CH4","AOI_BO_City",1825.87114342392,1825.87114342392
"5",5,1,NA,"X_2019.05.01","2019-05-01","CH4","AOI_BO_City",1832.36010242169,1832.36010242169
"6",6,1,NA,"X_2019.06.01","2019-06-01","CH4","AOI_BO_City",1826.79411431135,1826.79411431135
"7",7,1,NA,"X_2019.07.01","2019-07-01","CH4","AOI_BO_City",1837.03750281025,1837.03750281025
"8",8,1,NA,"X_2019.08.01","2019-08-01","CH4","AOI_BO_City",1844.34112229506,1844.34112229506
"9",9,1,NA,"X_2019.09.01","2019-09-01","CH4","AOI_BO_City",1845.62313572249,1845.62313572249
"10",10,1,NA,"X_2019.10.01","2019-10-01","CH4","AOI_BO_City",1843.98384562866,1843.98384562866
"11",11,1,NA,"X_2019.11.01","2019-11-01","CH4","AOI_BO_City",1845.50533921179,1845.50533921179
"12",12,1,NA,"X_2019.12.01","2019-12-01","CH4","AOI_BO_City",1829.53647793137,1829.53647793137
"13",13,1,NA,"X_2020.01.01","2020-01-01","CH4","AOI_BO_City",1849.13236256135,1849.13236256135
"14",14,1,NA,"X_2020.02.01","2020-02-01","CH4","AOI_BO_City",1850.32170335886,1850.32170335886
"15",15,1,NA,"X_2020.03.01","2020-03-01","CH4","AOI_BO_City",1835.36701998091,1835.36701998091
"16",16,1,NA,"X_2020.04.01","2020-04-01","CH4","AOI_BO_City",1836.87499066798,1836.87499066798
"17",17,1,NA,"X_2020.05.01","2020-05-01","CH4","AOI_BO_City",1834.89824391929,1834.89824391929
"18",18,1,NA,"X_2020.06.01","2020-06-01","CH4","AOI_BO_City",1827.90879310989,1827.90879310989
"19",19,1,NA,"X_2020.07.01","2020-07-01","CH4","AOI_BO_City",1847.24965449105,1847.24965449105
"20",20,1,NA,"X_2020.08.01","2020-08-01","CH4","AOI_BO_City",1856.96955775502,1856.96955775502
"21",21,1,NA,"X_2020.09.01","2020-09-01","CH4","AOI_BO_City",1861.54193585727,1861.54193585727
"22",22,1,NA,"X_2020.10.01","2020-10-01","CH4","AOI_BO_City",1860.59612224877,1860.59612224877
"23",23,1,NA,"X_2020.11.01","2020-11-01","CH4","AOI_BO_City",1850.68612715655,1850.68612715655
"24",24,1,NA,"X_2020.12.01","2020-12-01","CH4","AOI_BO_City",1850.52184298525,1850.52184298525
"25",25,1,NA,"X_2021.01.01","2021-01-01","CH4","AOI_BO_City",1843.38598365846,1843.38598365846
"26",26,1,NA,"X_2021.02.01","2021-02-01","CH4","AOI_BO_City",1852.34958090048,1852.34958090048
"27",27,1,NA,"X_2021.03.01","2021-03-01","CH4","AOI_BO_City",1857.60001382097,1857.60001382097
"28",28,1,NA,"X_2021.04.01","2021-04-01","CH4","AOI_BO_City",1841.9394245861,1841.9394245861
"29",29,1,NA,"X_2021.05.01","2021-05-01","CH4","AOI_BO_City",1851.36469373416,1851.36469373416
