"","X","id","name","cname","date","variable","aoi","mean","interpl"
"1",1,1,NA,"X_2019.01.01","2019-01-01","NO2","AOI_BO_City",3.21242820249682,3.21242820249682
"2",2,1,NA,"X_2019.02.01","2019-02-01","NO2","AOI_BO_City",2.93055515613061,2.93055515613061
"3",3,1,NA,"X_2019.03.01","2019-03-01","NO2","AOI_BO_City",3.43914205169198,3.43914205169198
"4",4,1,NA,"X_2019.04.01","2019-04-01","NO2","AOI_BO_City",2.38894812770583,2.38894812770583
"5",5,1,NA,"X_2019.05.01","2019-05-01","NO2","AOI_BO_City",2.25336929004625,2.25336929004625
"6",6,1,NA,"X_2019.06.01","2019-06-01","NO2","AOI_BO_City",2.10784632297552,2.10784632297552
"7",7,1,NA,"X_2019.07.01","2019-07-01","NO2","AOI_BO_City",1.95674667864983,1.95674667864983
"8",8,1,NA,"X_2019.08.01","2019-08-01","NO2","AOI_BO_City",1.73478129929952,1.73478129929952
"9",9,1,NA,"X_2019.09.01","2019-09-01","NO2","AOI_BO_City",1.98119977677499,1.98119977677499
"10",10,1,NA,"X_2019.10.01","2019-10-01","NO2","AOI_BO_City",3.02828597473704,3.02828597473704
"11",11,1,NA,"X_2019.11.01","2019-11-01","NO2","AOI_BO_City",3.43455760970882,3.43455760970882
"12",12,1,NA,"X_2019.12.01","2019-12-01","NO2","AOI_BO_City",2.88194820884812,2.88194820884812
"13",13,1,NA,"X_2020.01.01","2020-01-01","NO2","AOI_BO_City",3.94275144891247,3.94275144891247
"14",14,1,NA,"X_2020.02.01","2020-02-01","NO2","AOI_BO_City",2.92805075411565,2.92805075411565
"15",15,1,NA,"X_2020.03.01","2020-03-01","NO2","AOI_BO_City",2.27941826596088,2.27941826596088
"16",16,1,NA,"X_2020.04.01","2020-04-01","NO2","AOI_BO_City",2.47923541864731,2.47923541864731
"17",17,1,NA,"X_2020.05.01","2020-05-01","NO2","AOI_BO_City",1.86405753575097,1.86405753575097
"18",18,1,NA,"X_2020.06.01","2020-06-01","NO2","AOI_BO_City",1.68538427430062,1.68538427430062
"19",19,1,NA,"X_2020.07.01","2020-07-01","NO2","AOI_BO_City",1.94498522022167,1.94498522022167
"20",20,1,NA,"X_2020.08.01","2020-08-01","NO2","AOI_BO_City",1.68577252216947,1.68577252216947
"21",21,1,NA,"X_2020.09.01","2020-09-01","NO2","AOI_BO_City",1.73924355646382,1.73924355646382
"22",22,1,NA,"X_2020.10.01","2020-10-01","NO2","AOI_BO_City",2.06282011273513,2.06282011273513
"23",23,1,NA,"X_2020.11.01","2020-11-01","NO2","AOI_BO_City",3.22860116168665,3.22860116168665
"24",24,1,NA,"X_2020.12.01","2020-12-01","NO2","AOI_BO_City",4.31732513689868,4.31732513689868
"25",25,1,NA,"X_2021.01.01","2021-01-01","NO2","AOI_BO_City",2.60043758173717,2.60043758173717
"26",26,1,NA,"X_2021.02.01","2021-02-01","NO2","AOI_BO_City",3.25456914269894,3.25456914269894
"27",27,1,NA,"X_2021.03.01","2021-03-01","NO2","AOI_BO_City",3.45278490973769,3.45278490973769
